date,AHP198 - Arrow East Coast Investment Grade II Fund Class F,ALD400 - AA&A Global Equity Value Fund Series F,BCM210 - Barometer Tactical Balanced Pool Class O,CCL951 - CC&L Absolute Return Fund Series F,CFM134A - Canso Short Term and Floating Rate Income Fund Class A,CRY103 - Amethyst Arbitrage Fund Class F,CVT421 - Capstone Traditional Equity Pool Fund Class I,DON201 - Donville Kent Capital Ideas Fund Class A,ECM100 - King & Victoria RSP Fund Class A Units,HIL240 - Hillsdale Canadian Small Cap Equity Fund Series A CA$,IGI1737 - IG PanAgora Risk Parity Private Pool F,KAI103 - KAI Core Equity Pool Class O,KAI303 - KAI Core Listed Equity Pool Class O,LDM031 - Nymbus Sustainable Enh Short-Term Bonds Fd Class I,LGQ785 - Purpose Credit Opportunities Fund Prescribed Series A,LWP214 - Lightwater Nimble Fund Class O,MAJ263 - Northfront Equity Fund Series N,MAJ364 - Evovest Global Equity Fund Series E,MAJ603 - Limpid Global Fund Series S,MAJ868 - TURN8 Alternative Fund Series T,MBP109 - MFS Canadian Fixed Income Fund,NBC4627 - NBI Global Tactical Bond Fund Private,NEW314 - NewGen Equity Long-Short Fund RRSP Class F,NPP507 - Ninepoint Credit Income Opportunities Fund Class F,PTL054 - Portland Focused Plus Fund LP Series P,RBF10590 - RBC Qube Market Neutral World Equity Fund (CAD Hedged) Series A,TUR170 - Turtle Creek Equity Fund Class I Series 1.0 - 170,TUR216 - Turtle Creek Equity Fund Class I Series U.S. 2.0 - 216,TUR631 - Turtle Creek US Equity Fund Class F USD Cash Distribution 1 - 631,VCC111 - Vision Strategic Opportunity Fund Limited Partnership
1980-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-30,,,,,,,,,,,,,,,,,,,,,0.004004,,,,,,,,,
1981-02-27,,,,,,,,,,,,,,,,,,,,,-0.011964,,,,,,,,,
1981-03-31,,,,,,,,,,,,,,,,,,,,,0.008073,,,,,,,,,
1981-04-30,,,,,,,,,,,,,,,,,,,,,-0.064064,,,,,,,,,
1981-05-29,,,,,,,,,,,,,,,,,,,,,0.027807,,,,,,,,,
1981-06-30,,,,,,,,,,,,,,,,,,,,,0.003122,,,,,,,,,
1981-07-31,,,,,,,,,,,,,,,,,,,,,-0.061203,,,,,,,,,
1981-08-31,,,,,,,,,,,,,,,,,,,,,0.022099,,,,,,,,,
1981-09-30,,,,,,,,,,,,,,,,,,,,,-0.019459,,,,,,,,,
1981-10-30,,,,,,,,,,,,,,,,,,,,,0.083793,,,,,,,,,
1981-11-30,,,,,,,,,,,,,,,,,,,,,0.054934,,,,,,,,,
1981-12-31,,,,,,,,,,,,,,,,,,,,,-0.002893,,,,,,,,,
1982-01-29,,,,,,,,,,,,,,,,,,,,,-0.002901,,,,,,,,,
1982-02-26,,,,,,,,,,,,,,,,,,,,,0.015519,,,,,,,,,
1982-03-31,,,,,,,,,,,,,,,,,,,,,0.016237,,,,,,,,,
1982-04-30,,,,,,,,,,,,,,,,,,,,,0.030075,,,,,,,,,
1982-05-28,,,,,,,,,,,,,,,,,,,,,0.00365,,,,,,,,,
1982-06-30,,,,,,,,,,,,,,,,,,,,,-0.019091,,,,,,,,,
1982-07-30,,,,,,,,,,,,,,,,,,,,,0.027804,,,,,,,,,
1982-08-31,,,,,,,,,,,,,,,,,,,,,0.064923,,,,,,,,,
1982-09-30,,,,,,,,,,,,,,,,,,,,,0.043184,,,,,,,,,
1982-10-29,,,,,,,,,,,,,,,,,,,,,0.04789,,,,,,,,,
1982-11-30,,,,,,,,,,,,,,,,,,,,,0.020139,,,,,,,,,
1982-12-31,,,,,,,,,,,,,,,,,,,,,0.028094,,,,,,,,,
1983-01-31,,,,,,,,,,,,,,,,,,,,,-0.017725,,,,,,,,,
1983-02-28,,,,,,,,,,,,,,,,,,,,,0.042105,,,,,,,,,
1983-03-31,,,,,,,,,,,,,,,,,,,,,0.008658,,,,,,,,,
1983-04-29,,,,,,,,,,,,,,,,,,,,,0.032189,,,,,,,,,
1983-05-31,,,,,,,,,,,,,,,,,,,,,-0.002079,,,,,,,,,
1983-06-30,,,,,,,,,,,,,,,,,,,,,0.006944,,,,,,,,,
1983-07-29,,,,,,,,,,,,,,,,,,,,,-0.013793,,,,,,,,,
1983-08-31,,,,,,,,,,,,,,,,,,,,,0.003497,,,,,,,,,
1983-09-30,,,,,,,,,,,,,,,,,,,,,0.027875,,,,,,,,,
1983-10-31,,,,,,,,,,,,,,,,,,,,,0.018983,,,,,,,,,
